,urn,author,title,year
274,2016110248119,"Innes, Hammond","Kampen om ""Mary Deare""",1977
275,2014021807040,"Orczy, Emmuska Orczy",røde pimpernell,1979
276,2009071004064,"Hailey, Arthur",Siste sending,1990
277,2016102048005,"Clifford, Francis",Trommer i natten,1987
278,2013012907202,"Pearson, Diane",Csardas,1976
279,2007080304009,"Haugen, Paal-Helge",Det nye amerikanske huset,1970
280,2010121520041,"Iverson, Brett",Blindet av hat,1990
281,2015110407521,"Patrick, Quentin",Døden går på skole,1982
282,2014121007536,"Ferber, Edna",Giganten,1981
283,2016062048007,,Hårreisende historier,1982
284,2012012008235,"Montgomery, L.M.",Anne og Marilla,1972
285,2012091208050,"London, Jack",Jerry,1978
286,2014061108249,"Gerson, Noel Bertram",Het olje,1975
287,2015072108156,"Wodehouse, P.G.","Utmerket, Wodehouse!",1973
288,2013110405108,"Rogers, Natalie H.",Ordet er ditt,1983
289,2015013008030,"Grey, Zane",Nybyggeren,1984
290,2015072108291,"Stevenson, Robert Louis",Skattøya,1975
291,2012012008059,"Hardcastle, Michael",På galne vegar,1972
292,2011110208183,"Vogel, Ilse-Margret",Vil du kaste ball med meg?,1970
293,2010101208095,"Asare, Meshack",Kanoen forteller,1990
294,2011022320087,"Brown, Carter",Liket som kunne gå,1975
295,2014032406004,"Hardwick, Mollie",Sarahs historie,1984
296,2015102308102,"Harvey, Julietta",Lengselens vinder,1990
297,2016062748040,"London, Jack",Sneens datter,1987
298,2014103008108,"Scott, Walter",Bueskytteren,1987
299,2013060708127,"Stout, Rex",For mange kokker,1974
